Property label,Definition,Property URI,Controlled vocabluary (if applicable),Usage note,Requirement level,Range,Cardinality,Source of constraint,Value,SHACL_dash:viewer,SHACL_dash:editor,SHACL_sh:node,SHACL_sh:uniqueLang,SHACL_pattern,SHACL_default_value,SeMPyRO_rdf_term,SeMPyRO_rdf_type,SeMPyRO_range
hasImageBodyPart,"Anatomical areas captured in the images. See DICOM tag (0018, 0015) Body Part Examined.",eucaim:hasImageBodyPart,,"The controlled vocabulary is defined by the subclasses of the range 'eucaim:Body Structure'' (eucaim:BP1000024). DICOM tag Body Part Examined (0018,0015) contains values in free text or mapped to SNOMED-CT, which both would have to be mapped to the EUCAIM hyperontology.",Mandatory,eucaim:BodyStructure (IRI),1..n,,,,,,,,,,,
contrastAgentUsed,Boolean to signify if a contrast agent has been used.,,,,Mandatory,xsd:boolean,1,,,,,,,,,,,
description,Free-text description of the scan protocol. ,dct:description,,,Recommended,rdfs:Literal,0..1,,,,,,,,,,,
contrastAgentName,"Name of the contrast agent that has been used. See DICOM tag (0018, 1010) Contrast/Bolus Agent.",,,"Vocabulary to be determined, for example: http://purl.obolibrary.org/obo/NCIT_C69294 or https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_12.html",Recommended,,0..1,,,,,,,,,,,
inPlaneResolutionRowsRange,"Minimum and maximum value of the physical distance in the patient between the center of each pixel in millimeters in the rows direction, per slice. ",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
inPlaneResolutionColsRange,"Minimum and maximum value of the physical distance in the patient between the center of each pixel in millimeters in the columns direction, per slice. ",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
numRowsRange,"Minimum and maximum value of the size of the number of rows in the images in the scans. See DICOM tags (0028, 0010) Rows.",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
numColsRange,"Minimum and maximum value of the number of columns in the images in the scans. See DICOM tags (0028,0011) Columns.",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
numSlicesRange,Minimum and maximum value of the number of slices in the scans. ,,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
voxelSizeXRange,"Minimum and maximum value of the pixels or voxels in the X-dimension in millimeters. See DICOM tags (0018, 0050) Slice Thickness and (0028, 0030) Pixel Spacing. ",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
voxelSizeYRange,"Minimum and maximum value of the pixels or voxels in the Y-dimension in millimeters. See DICOM tags (0018, 0050) Slice Thickness and (0028, 0030) Pixel Spacing.",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
voxelSizeZRange,"Minimum and maximum value of the pixels or voxels in the Z-dimension in millimeters. See DICOM tags (0018, 0050) Slice Thickness and (0028, 0030) Pixel Spacing.",,,,Recommended,schema:QuantitativeValue,0..1,,,,,,,,,,,
